"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_gol_luas_lahan_less1000";"n_utp_gol_luas_lahan_1000_1999";"n_utp_gol_luas_lahan_2000_4999";"n_utp_gol_luas_lahan_5000_9999";"n_utp_gol_luas_lahan_10000_19999";"n_utp_gol_luas_lahan_20000_29999";"n_utp_gol_luas_lahan_30000_39999";"n_utp_gol_luas_lahan_40000_49999";"n_utp_gol_luas_lahan_50000_99999";"n_utp_gol_luas_lahan_100000_199999";"n_utp_gol_luas_lahan_200000_299999";"n_utp_gol_luas_lahan_300000_399999";"n_utp_gol_luas_lahan_400000_499999";"n_utp_gol_luas_lahan_500000_999999";"n_utp_gol_luas_lahan_1000000_1999999";"n_utp_gol_luas_lahan_2000000_4999999";"n_utp_gol_luas_lahan_5000000_9999999";"n_utp_gol_luas_lahan_10000000plus";"n_utp_luas_lahan";"n_utp_cek"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"530";"354";"576";"407";"132";"26";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2030";"2030"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"76";"159";"630";"563";"272";"46";"8";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1761";"1761"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"600";"544";"986";"684";"312";"48";"7";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3183";"3183"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"707";"525";"441";"152";"41";"8";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1876";"1876"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"272";"256";"410";"241";"101";"19";"10";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1313";"1313"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"229";"176";"360";"241";"39";"8";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1054";"1054"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"469";"411";"1144";"1042";"631";"181";"41";"14";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3953";"3953"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"376";"443";"822";"460";"282";"56";"10";"5";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2459";"2459"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"1201";"415";"292";"128";"50";"16";"6";"2";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2113";"2113"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1064";"359";"273";"108";"88";"16";"4";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1917";"1917"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"676";"307";"524";"493";"293";"39";"2";"2";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2341";"2341"
