"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_pohon_perkebunan_kelor_2306";"n_pohon_perkebunan_aren_3101";"n_pohon_perkebunan_asam_jawa_3102";"n_pohon_perkebunan_cengkeh_3103";"n_pohon_perkebunan_gambir_3104";"n_pohon_perkebunan_jambu_mete_3105";"n_pohon_perkebunan_jarak_pagar_3106";"n_pohon_perkebunan_kakao_3107";"n_pohon_perkebunan_kapok_3108";"n_pohon_perkebunan_karet_3109";"n_pohon_perkebunan_kayumanis_3110";"n_pohon_perkebunan_kelapa_sawit_3111";"n_pohon_perkebunan_kelapa_3112";"n_pohon_perkebunan_kemenyan_3113";"n_pohon_perkebunan_kemiri_3114";"n_pohon_perkebunan_kemiri_sunan_3115";"n_pohon_perkebunan_kenanga_3116";"n_pohon_perkebunan_kina_3117";"n_pohon_perkebunan_klerek_3118";"n_pohon_perkebunan_kopi_3119";"n_pohon_perkebunan_lada_3120";"n_pohon_perkebunan_lontar_3121";"n_pohon_perkebunan_panili_3123";"n_pohon_perkebunan_pala_3124";"n_pohon_perkebunan_pandan_anyam_3125";"n_pohon_perkebunan_pinang_jambe_3126";"n_pohon_perkebunan_sagu_3127";"n_pohon_perkebunan_soga_3128";"n_pohon_perkebunan_teh_3129";"n_pohon_perkebunan_andaliman_3130";"n_pohon_perkebunan_gayam_3131";"n_pohon_perkebunan_kurma_3132";"n_pohon_perkebunan_kelapa_nira_3198";"n_pohon_perkebunan_lainnya_3199"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"30";"115";"1174";"0";"1181";"0";"859";"0";"0";"0";"0";"4300";"0";"345";"0";"0";"0";"0";"51";"0";"118";"2993";"3023";"0";"188";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"22";"53";"9572";"0";"1020";"0";"3618";"0";"0";"60";"0";"5639";"0";"117";"0";"0";"0";"0";"1165";"213";"113";"10766";"24232";"0";"424";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"0";"3";"175";"1017";"0";"2726";"0";"1626";"0";"0";"0";"0";"6144";"0";"206";"0";"0";"0";"0";"50";"10";"341";"6740";"1482";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"50";"0";"4390";"0";"1346";"0";"0";"0";"0";"1299";"0";"0";"0";"0";"0";"0";"1321";"0";"0";"0";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"39";"2";"3";"4";"0";"252";"0";"1367";"0";"0";"0";"0";"5438";"0";"13";"0";"0";"0";"0";"0";"115";"0";"6345";"423";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"12";"10";"0";"311";"0";"383";"0";"0";"0";"0";"1839";"0";"32";"0";"0";"0";"0";"15";"0";"109";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"0";"458";"17";"2925";"0";"1291";"0";"20241";"0";"0";"120";"0";"18380";"0";"6725";"0";"0";"0";"0";"286";"895";"0";"13492";"5063";"34";"727";"0";"0";"0";"0";"0";"10";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"50";"94";"0";"0";"7728";"0";"78";"0";"0";"0";"0";"1071";"0";"1157";"0";"0";"0";"0";"0";"0";"0";"30";"0";"0";"35";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"3";"0";"26";"280";"0";"1315";"0";"331";"0";"0";"0";"0";"775";"0";"61";"0";"0";"0";"0";"0";"0";"21";"200";"108";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"0";"137";"73";"0";"1637";"0";"399";"0";"0";"0";"0";"161";"0";"251";"0";"0";"0";"0";"0";"0";"0";"146";"125";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"4";"1";"80";"1583";"0";"9909";"0";"558";"0";"0";"0";"0";"1822";"0";"144";"11";"0";"0";"0";"137";"0";"885";"1682";"1113";"0";"106";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"106";"663";"2424";"79588";"0";"97416";"0";"150049";"0";"0";"495";"0";"157025";"0";"53920";"190";"0";"0";"0";"17856";"2338";"3794";"193254";"101228";"62";"2803";"0";"0";"0";"0";"0";"10";"0";"0"
