"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_gol_luas_lahan_0";"n_rtup_gol_luas_lahan_less1000";"n_rtup_gol_luas_lahan_1000_1999";"n_rtup_gol_luas_lahan_2000_4999";"n_rtup_gol_luas_lahan_5000_9999";"n_rtup_gol_luas_lahan_10000_19999";"n_rtup_gol_luas_lahan_20000_29999";"n_rtup_gol_luas_lahan_30000_39999";"n_rtup_gol_luas_lahan_40000_49999";"n_rtup_gol_luas_lahan_50000_99999";"n_rtup_gol_luas_lahan_100000_199999";"n_rtup_gol_luas_lahan_200000_299999";"n_rtup_gol_luas_lahan_300000_399999";"n_rtup_gol_luas_lahan_400000_499999";"n_rtup_gol_luas_lahan_500000_999999";"n_rtup_gol_luas_lahan_1000000_1999999";"n_rtup_gol_luas_lahan_2000000_4999999";"n_rtup_gol_luas_lahan_5000000_9999999";"n_rtup_gol_luas_lahan_10000000plus";"n_rtup_luas_lahan";"n_rtup_cek"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"93";"615";"298";"548";"361";"111";"23";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1962";"2055"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"4";"67";"147";"588";"535";"253";"47";"6";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1649";"1653"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"244";"777";"555";"982";"555";"173";"22";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3068";"3312"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"8";"755";"506";"417";"136";"39";"7";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1861";"1869"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"7";"338";"218";"379";"235";"89";"18";"4";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1283";"1290"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"27";"367";"253";"314";"95";"7";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1039";"1066"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"22";"548";"387";"1034";"947";"622";"154";"35";"15";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3759";"3781"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"210";"501";"431";"669";"396";"215";"48";"3";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2268";"2478"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"523";"1266";"346";"252";"119";"50";"12";"5";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2052";"2575"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"757";"1244";"227";"183";"89";"55";"6";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1810";"2567"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"743";"767";"249";"478";"470";"269";"36";"4";"3";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2281";"3024"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"3471";"9650";"6146";"12467";"10597";"6328";"1444";"328";"125";"101";"11";"1";"0";"0";"1";"0";"0";"0";"0";"47199";"50670"
