tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;ID;n_rtup_tunggal;n_rtup_campuran;n_rtup_tumpang_sari;n_rtup_asosiasi_antar_semusim;n_rtup_jumlah;n_rtup
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310011] MEGO;53;5310;5310011;9682098;2;8;0;0;10;10
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310012] TANA WAWO;53;5310;5310012;8068305;0;1;0;0;1;1
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310020] LELA;53;5310;5310020;7261389;3;16;0;0;19;19
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310030] BOLA;53;5310;5310030;6454500;3;37;0;0;40;40
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310031] DORENG;53;5310;5310031;7261236;0;6;0;0;6;6
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310032] MAPITARA;53;5310;5310032;3228642;1;6;0;1;8;8
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310040] TALIBURA;53;5310;5310040;16142970;40;106;2;27;175;175
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310041] WAIGETE;53;5310;5310041;8878463;70;195;29;19;313;314
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310042] WAIBLAMA;53;5310;5310042;5649868;3;13;2;3;21;21
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310050] KEWAPANTE;53;5310;5310050;7264044;51;108;1;3;163;162
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310051] HEWOKLOANG;53;5310;5310051;5648274;0;20;0;0;20;20
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310052] KANGAE;53;5310;5310052;7264635;32;57;4;0;93;93
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310061] PALUE;53;5310;5310061;6457708;0;0;0;0;0;0
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310062] KOTING;53;5310;5310062;5650442;6;90;0;0;96;96
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310063] NELLE;53;5310;5310063;4036000;3;68;0;0;71;71
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310070] NITA;53;5310;5310070;12107850;2;65;0;1;68;68
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310071] MAGEPANDA;53;5310;5310071;6457428;163;83;19;13;278;277
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310080] ALOK;53;5310;5310080;5650197;176;47;4;68;295;293
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310081] ALOK BARAT;53;5310;5310081;3228662;120;21;5;2;148;149
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310082] ALOK TIMUR;53;5310;5310082;8877528;77;91;3;4;175;175
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310] SIKKA;53;5310;5310999;156566081;755;1042;69;141;2007;2005
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310010] PAGA;53;5310;5310010;4764375;0;0;0;0;0;0
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310011] MEGO;53;5310;5310011;4083594;0;0;0;0;0;0
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310012] TANA WAWO;53;5310;5310012;3402885;0;0;0;0;0;0
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310020] LELA;53;5310;5310020;3062511;0;0;0;0;0;0
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310030] BOLA;53;5310;5310030;2725068;0;0;0;0;0;0
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310031] DORENG;53;5310;5310031;3065625;0;0;0;0;0;0
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310032] MAPITARA;53;5310;5310032;1362474;0;0;0;0;0;0
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310040] TALIBURA;53;5310;5310040;6812130;0;0;0;0;0;0
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310041] WAIGETE;53;5310;5310041;3746501;0;0;0;0;0;0
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310042] WAIBLAMA;53;5310;5310042;2384074;0;0;0;0;0;0
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310050] KEWAPANTE;53;5310;5310050;3066134;0;0;0;0;0;0
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310051] HEWOKLOANG;53;5310;5310051;2384809;0;0;0;0;0;0
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310052] KANGAE;53;5310;5310052;3066111;0;0;0;0;0;0
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310061] PALUE;53;5310;5310061;2725364;0;0;0;0;0;0
BAB_4_tabel_4_54_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310062] KOTING;53;5310;5310062;2384641;0;0;0;0;0;0
