tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_utp_dipanen_sendiri;n_utp_diijonkan;n_utp_ditebaskan;n_utp_belum_panen_habis;n_utp_puso;n_utp_tidak_panen;n_utp_belum_panen;n_utp
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310] SIKKA;53;5310;5310999;1;0;0;0;0;0;0;1
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310012] TANA WAWO;53;5310;5310012;1;0;0;0;0;0;0;1
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0
