"id_prov";"id_kab";"id_gol_luas_lahan";"id_kec";"prov";"kab";"kec";"gol_luas_lahan";"n_rtup_gol_luas_lahan_st2023"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310041] WAIGETE";"53";"5310";"5310041";">=30000";"31"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310042] WAIBLAMA";"53";"5310";"5310042";"<1000";"18"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310042] WAIBLAMA";"53";"5310";"5310042";"1000-1999";"45"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310042] WAIBLAMA";"53";"5310";"5310042";"2000-4999";"249"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310042] WAIBLAMA";"53";"5310";"5310042";"5000-9999";"522"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310042] WAIBLAMA";"53";"5310";"5310042";"10000-19999";"637"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310042] WAIBLAMA";"53";"5310";"5310042";"20000-29999";"127"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310042] WAIBLAMA";"53";"5310";"5310042";">=30000";"44"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310050] KEWAPANTE";"53";"5310";"5310050";"<1000";"588"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1000-1999";"339"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310050] KEWAPANTE";"53";"5310";"5310050";"2000-4999";"562"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310050] KEWAPANTE";"53";"5310";"5310050";"5000-9999";"405"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310050] KEWAPANTE";"53";"5310";"5310050";"10000-19999";"128"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310050] KEWAPANTE";"53";"5310";"5310050";"20000-29999";"27"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310050] KEWAPANTE";"53";"5310";"5310050";">=30000";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"<1000";"61"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1000-1999";"125"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"2000-4999";"580"
