"id_prov";"id_kab";"id_kategori_subsektor";"id_kec";"prov";"kab";"kec";"kategori_subsektor";"n_rtup_subsektor_st2023"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Pertanian";"2055"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Tanaman Pangan";"1180"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.1";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Padi";"97"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.2";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Palawija";"1171"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Hortikultura";"1046"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Perkebunan";"1319"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Peternakan";"1494"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Perikanan";"79"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Budidaya Ikan";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Penangkapan Ikan";"79"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Kehutanan";"424"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Jasa Pertanian";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Pertanian";"1653"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Tanaman Pangan";"809"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.1";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Padi";"131"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.2";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Palawija";"801"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Hortikultura";"1154"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Perkebunan";"1634"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Peternakan";"1341"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Perikanan";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Budidaya Ikan";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Penangkapan Ikan";"0"
