"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_gol_luas_lahan_0";"n_utp_gol_luas_lahan_less1000";"n_utp_gol_luas_lahan_1000_1999";"n_utp_gol_luas_lahan_2000_4999";"n_utp_gol_luas_lahan_5000_9999";"n_utp_gol_luas_lahan_10000_19999";"n_utp_gol_luas_lahan_20000_29999";"n_utp_gol_luas_lahan_30000_39999";"n_utp_gol_luas_lahan_40000_49999";"n_utp_gol_luas_lahan_50000_99999";"n_utp_gol_luas_lahan_100000_199999";"n_utp_gol_luas_lahan_200000_299999";"n_utp_gol_luas_lahan_300000_399999";"n_utp_gol_luas_lahan_400000_499999";"n_utp_gol_luas_lahan_500000_999999";"n_utp_gol_luas_lahan_1000000_1999999";"n_utp_gol_luas_lahan_2000000_4999999";"n_utp_gol_luas_lahan_5000000_9999999";"n_utp_gol_luas_lahan_10000000plus";"n_utp_luas_lahan";"n_utp_cek"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"112";"653";"308";"565";"358";"111";"23";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2023";"2135"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"15";"91";"185";"644";"548";"238";"43";"6";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1761";"1776"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"284";"839";"587";"1014";"546";"166";"22";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3178";"3462"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"14";"768";"507";"418";"136";"40";"6";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1876";"1890"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"9";"348";"223";"395";"230";"90";"18";"5";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1310";"1319"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"32";"379";"253";"317";"94";"7";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1053";"1085"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"31";"610";"413";"1126";"988";"603";"149";"36";"11";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3952";"3983"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"250";"590";"466";"734";"405";"212";"41";"2";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2455";"2705"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"816";"1311";"356";"255";"117";"49";"12";"5";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2107";"2923"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"978";"1335";"228";"191";"91";"52";"7";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1909";"2887"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"760";"781";"256";"489";"483";"272";"36";"2";"2";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2326";"3086"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"4313";"10391";"6615";"13261";"10951";"6277";"1351";"306";"118";"93";"10";"1";"0";"0";"1";"0";"0";"0";"0";"49375";"53688"
