"id_prov";"id_kab";"id_kategori_luas_lahan_tani";"id_kec";"prov";"kab";"kec";"kategori_luas_lahan_tani";"n_utp_kategori_luas_lahan_tani";"n_upb_kategori_luas_lahan_tani";"n_utl_kategori_luas_lahan_tani"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310032] MAPITARA";"53";"5310";"5310032";"< 1";"1212.00";"0.00";"3.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310032] MAPITARA";"53";"5310";"5310032";"500-999";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310032] MAPITARA";"53";"5310";"5310032";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310032] MAPITARA";"53";"5310";"5310032";"1-1,99";"159.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310032] MAPITARA";"53";"5310";"5310032";"2-4,99";"40.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310032] MAPITARA";"53";"5310";"5310032";"5-9,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310032] MAPITARA";"53";"5310";"5310032";"10-19,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310032] MAPITARA";"53";"5310";"5310032";"20-49,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310032] MAPITARA";"53";"5310";"5310032";"50-99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310032] MAPITARA";"53";"5310";"5310032";"100-199";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310032] MAPITARA";"53";"5310";"5310032";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310040] TALIBURA";"53";"5310";"5310040";"Usaha Pertanian Tanpa Lahan Pertanian";"478.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310040] TALIBURA";"53";"5310";"5310040";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"4196.00";"3.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310040] TALIBURA";"53";"5310";"5310040";"< 1";"2864.00";"2.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310040] TALIBURA";"53";"5310";"5310040";"500-999";"0.00";"1.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310040] TALIBURA";"53";"5310";"5310040";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310040] TALIBURA";"53";"5310";"5310040";"1-1,99";"1017.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310040] TALIBURA";"53";"5310";"5310040";"2-4,99";"299.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310040] TALIBURA";"53";"5310";"5310040";"5-9,99";"15.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310040] TALIBURA";"53";"5310";"5310040";"10-19,99";"1.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310040] TALIBURA";"53";"5310";"5310040";"20-49,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310040] TALIBURA";"53";"5310";"5310040";"50-99";"0.00";"0.00";"0.00"
