tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;jenis_produksi;satuan_produksi;ID;sum_jumlah_tanaman_belum_menghasilkan;sum_jumlah_tanaman_menghasilkan;sum_jumlah_tanaman_tidak_menghasilkan;sum_produksi_volume;sum_produksi_nilai
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310010] PAGA;53;5310;5310010;5;1;21740800;0;6;0;284;459
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310011] MEGO;53;5310;5310011;5;1;21740756;0;338;0;6389;6725
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310012] TANA WAWO;53;5310;5310012;5;1;7246911;0;20;0;665;625
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310020] LELA;53;5310;5310020;5;1;28968818;5;26;1;578;3648
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310030] BOLA;53;5310;5310030;5;1;50690572;19;71;3;1993;7682
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310031] DORENG;53;5310;5310031;5;1;21702551;6;9;0;341;1060
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310032] MAPITARA;53;5310;5310032;5;1;7246985;0;14;0;260;750
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310040] TALIBURA;53;5310;5310040;5;1;115836374;17;736;1;11941.6;42545
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310041] WAIGETE;53;5310;5310041;5;1;72373168;22;772;13;27559;120617
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310042] WAIBLAMA;53;5310;5310042;5;1;21721436;4;34;0;534;1972
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310050] KEWAPANTE;53;5310;5310050;5;1;65145617;6;241;9;9015;48284
