tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_rtup_usaha_selain_ternak_besar_produksi_daging;n_rtup_usaha_selain_ternak_besar_produksi_susu_segar;n_rtup_usaha_selain_ternak_besar_produksi_telur_konsumsi;n_rtup_usaha_selain_ternak_besar_produksi_telur_tetas;n_rtup_usaha_selain_ternak_besar_produksi_semen_ternak;n_rtup_usaha_selain_ternak_besar_produksi_embrio;n_rtup_usaha_selain_ternak_besar_produksi_madu;n_rtup_usaha_selain_ternak_besar_produksi_liur_atau_sarang;n_rtup_usaha_selain_ternak_besar_produksi_bulu;n_rtup_usaha_selain_ternak_besar_produksi_kepompong;n_rtup_usaha_selain_ternak_besar_produksi_kulit;n_rtup_usaha_selain_ternak_besar_produksi_lilin_malam;jumlah;n_rtup_usaha_selain_ternak_besar
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310070] NITA;53;5310;5310070;926;0;0;0;0;0;0;0;0;0;0;0;926;926
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310071] MAGEPANDA;53;5310;5310071;773;0;0;0;0;0;0;0;0;0;0;0;773;773
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310080] ALOK;53;5310;5310080;813;0;0;0;0;0;0;0;0;0;4;0;817;817
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310081] ALOK BARAT;53;5310;5310081;723;0;0;0;0;0;0;0;0;0;1;0;724;724
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310082] ALOK TIMUR;53;5310;5310082;1182;0;0;0;0;0;0;0;0;0;0;0;1182;1182
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310] SIKKA;53;5310;5310999;13788;0;0;0;0;0;0;0;0;0;10;0;13798;13797
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0;0;0;0;0;0
