tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_utp_selain_ternak_besar_tujuan_pengembangbiakan;n_utp_selain_ternak_besar_tujuan_penggemukan;n_utp_selain_ternak_besar_tujuan_pembibitan;n_utp_selain_ternak_besar_tujuan_pembesaran;n_utp_selain_ternak_besar_tujuan_produksi;jumlah;n_utp_usaha_selain_ternak_besar
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310031] DORENG;53;5310;5310031;226;79;0;0;0;305;305
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310032] MAPITARA;53;5310;5310032;291;7;0;0;0;298;298
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310040] TALIBURA;53;5310;5310040;779;58;3;0;0;840;840
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310041] WAIGETE;53;5310;5310041;703;194;0;0;0;897;897
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310042] WAIBLAMA;53;5310;5310042;266;7;2;0;0;275;275
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310050] KEWAPANTE;53;5310;5310050;331;29;0;0;0;360;360
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310051] HEWOKLOANG;53;5310;5310051;183;60;0;0;0;243;243
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310052] KANGAE;53;5310;5310052;576;52;0;0;0;628;628
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310061] PALUE;53;5310;5310061;178;17;1;0;0;196;196
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310062] KOTING;53;5310;5310062;104;36;0;0;0;140;140
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310063] NELLE;53;5310;5310063;121;6;0;0;0;127;127
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310070] NITA;53;5310;5310070;406;184;4;0;0;594;594
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310071] MAGEPANDA;53;5310;5310071;185;234;0;0;0;419;419
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310080] ALOK;53;5310;5310080;225;32;0;0;0;257;257
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310081] ALOK BARAT;53;5310;5310081;70;234;0;0;0;304;304
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310082] ALOK TIMUR;53;5310;5310082;571;68;0;0;0;639;639
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310] SIKKA;53;5310;5310999;7590;1468;11;0;0;9069;9069
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0
