tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_ruta_panen_sendiri;n_ruta_ijon;n_ruta_tebas;n_ruta_tdk_panen;n_ruta_blm_panen
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310061] PALUE;53;5310;5310061;1;0;0;0;0
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310062] KOTING;53;5310;5310062;1;0;0;1;1
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310063] NELLE;53;5310;5310063;0;0;0;0;0
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310070] NITA;53;5310;5310070;127;0;0;0;1
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310071] MAGEPANDA;53;5310;5310071;1;0;0;0;0
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310080] ALOK;53;5310;5310080;0;0;0;0;0
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310082] ALOK TIMUR;53;5310;5310082;3;0;0;0;0
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310] SIKKA;53;5310;5310999;204;0;0;3;9
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310010] PAGA;53;5310;5310010;24;0;0;1;0
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310011] MEGO;53;5310;5310011;0;0;0;0;1
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310020] LELA;53;5310;5310020;19;0;0;1;5
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310030] BOLA;53;5310;5310030;62;1;0;13;3
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310031] DORENG;53;5310;5310031;63;0;0;3;4
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310032] MAPITARA;53;5310;5310032;6;0;0;0;1
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310040] TALIBURA;53;5310;5310040;246;0;0;19;21
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310041] WAIGETE;53;5310;5310041;1104;0;1;6;28
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310042] WAIBLAMA;53;5310;5310042;140;0;1;1;6
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310050] KEWAPANTE;53;5310;5310050;358;0;0;15;10
