tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_utp_seluruhnya_dijual;n_utp_sebagian_besar_dijual;n_utp_sebagian_besar_dikonsumsi_sendiri;n_utp_seluruhnya_dikonsumsi_sendiri;n_utp_belum_dijual
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310] SIKKA;53;5310;5310999;1;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310010] PAGA;53;5310;5310010;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310011] MEGO;53;5310;5310011;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310012] TANA WAWO;53;5310;5310012;0;1;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310020] LELA;53;5310;5310020;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310030] BOLA;53;5310;5310030;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310031] DORENG;53;5310;5310031;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310061] PALUE;53;5310;5310061;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310062] KOTING;53;5310;5310062;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310063] NELLE;53;5310;5310063;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310070] NITA;53;5310;5310070;5;5;3;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310080] ALOK;53;5310;5310080;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310] SIKKA;53;5310;5310999;5;6;3;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310010] PAGA;53;5310;5310010;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310011] MEGO;53;5310;5310011;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310012] TANA WAWO;53;5310;5310012;0;7;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310020] LELA;53;5310;5310020;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310030] BOLA;53;5310;5310030;0;3;2;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310031] DORENG;53;5310;5310031;4;19;3;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310032] MAPITARA;53;5310;5310032;10;5;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310051] HEWOKLOANG;53;5310;5310051;5;11;23;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310061] PALUE;53;5310;5310061;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310062] KOTING;53;5310;5310062;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310063] NELLE;53;5310;5310063;0;1;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310070] NITA;53;5310;5310070;6;36;1;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310080] ALOK;53;5310;5310080;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310] SIKKA;53;5310;5310999;25;82;29;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310010] PAGA;53;5310;5310010;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310011] MEGO;53;5310;5310011;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310012] TANA WAWO;53;5310;5310012;0;1;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310020] LELA;53;5310;5310020;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310030] BOLA;53;5310;5310030;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310031] DORENG;53;5310;5310031;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310040] TALIBURA;53;5310;5310040;0;0;1;0;0
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310041] WAIGETE;53;5310;5310041;7;120;5;0;4
BAB_4_tabel_4_22_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0
