"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_pohon_perkebunan_kelor_2306";"n_pohon_perkebunan_aren_3101";"n_pohon_perkebunan_asam_jawa_3102";"n_pohon_perkebunan_cengkeh_3103";"n_pohon_perkebunan_gambir_3104";"n_pohon_perkebunan_jambu_mete_3105";"n_pohon_perkebunan_jarak_pagar_3106";"n_pohon_perkebunan_kakao_3107";"n_pohon_perkebunan_kapok_3108";"n_pohon_perkebunan_karet_3109";"n_pohon_perkebunan_kayumanis_3110";"n_pohon_perkebunan_kelapa_sawit_3111";"n_pohon_perkebunan_kelapa_3112";"n_pohon_perkebunan_kemenyan_3113";"n_pohon_perkebunan_kemiri_3114";"n_pohon_perkebunan_kemiri_sunan_3115";"n_pohon_perkebunan_kenanga_3116";"n_pohon_perkebunan_kina_3117";"n_pohon_perkebunan_klerek_3118";"n_pohon_perkebunan_kopi_3119";"n_pohon_perkebunan_lada_3120";"n_pohon_perkebunan_lontar_3121";"n_pohon_perkebunan_panili_3123";"n_pohon_perkebunan_pala_3124";"n_pohon_perkebunan_pandan_anyam_3125";"n_pohon_perkebunan_pinang_jambe_3126";"n_pohon_perkebunan_sagu_3127";"n_pohon_perkebunan_soga_3128";"n_pohon_perkebunan_teh_3129";"n_pohon_perkebunan_andaliman_3130";"n_pohon_perkebunan_gayam_3131";"n_pohon_perkebunan_kurma_3132";"n_pohon_perkebunan_kelapa_nira_3198";"n_pohon_perkebunan_lainnya_3199"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"0";"1487";"2173";"0";"13616";"0";"7796";"21";"0";"3";"0";"17369";"0";"2368";"0";"0";"0";"0";"58";"4";"693";"7979";"871";"0";"210";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"683";"22682";"0";"11073";"0";"44714";"0";"0";"45";"0";"37192";"0";"5545";"0";"0";"0";"0";"2184";"74";"465";"24774";"16972";"0";"3474";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"23";"5";"2809";"977";"0";"17991";"0";"9047";"5";"0";"0";"0";"21073";"0";"3496";"0";"0";"0";"0";"1571";"51";"1832";"15247";"465";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"0";"5";"2";"1";"0";"27494";"0";"7238";"0";"0";"0";"0";"18624";"0";"0";"0";"0";"0";"0";"379";"0";"0";"80";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"31";"21";"42";"20";"0";"4325";"0";"27122";"0";"0";"0";"0";"37690";"0";"175";"0";"0";"0";"0";"11";"165";"20";"1539";"83";"0";"14";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"14";"0";"78";"0";"0";"4524";"0";"2423";"0";"0";"0";"0";"11599";"0";"69";"0";"0";"0";"0";"15";"0";"1552";"30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"0";"572";"364";"1125";"0";"15973";"0";"176235";"0";"0";"14";"0";"704177";"0";"66669";"0";"0";"0";"0";"640";"3266";"0";"13512";"1706";"0";"3971";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"200";"1042";"0";"0";"29182";"0";"1231";"0";"0";"0";"0";"4866";"0";"5638";"0";"0";"0";"0";"150";"2";"0";"42";"0";"10";"39";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"13";"0";"258";"188";"0";"8841";"0";"1882";"0";"0";"14";"0";"6097";"0";"308";"0";"0";"0";"0";"0";"0";"258";"0";"144";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"48";"0";"707";"59";"0";"8728";"0";"1993";"0";"0";"0";"0";"2344";"0";"1800";"0";"0";"0";"0";"50";"0";"6";"152";"22";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"15";"13";"631";"1851";"0";"21633";"0";"2807";"0";"0";"0";"0";"10286";"0";"3079";"26";"0";"0";"0";"844";"34";"2603";"30561";"1588";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"151";"1249";"18679";"59945";"0";"522025";"0";"939636";"29";"0";"321";"0";"1266148";"0";"357898";"1492";"0";"0";"0";"56361";"8681";"14199";"285575";"48920";"115";"11081";"0";"0";"0";"0";"0";"0";"0";"0"
