tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;persentase_rtup_seluruhnya_dijual;persentase_rtup_sebagian_besar_dijual;persentase_rtup_sebagian_besar_dikonsumsi;persentase_rtup_belum_dijual
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310031] DORENG;53;5310;5310031;96.61;0.00;0.00;3.39
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310032] MAPITARA;53;5310;5310032;100.00;0.00;0.00;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310040] TALIBURA;53;5310;5310040;100.00;0.00;0.00;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310041] WAIGETE;53;5310;5310041;100.00;0.00;0.00;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310042] WAIBLAMA;53;5310;5310042;100.00;0.00;0.00;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310050] KEWAPANTE;53;5310;5310050;100.00;0.00;0.00;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310051] HEWOKLOANG;53;5310;5310051;98.89;0.56;0.00;0.56
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310052] KANGAE;53;5310;5310052;100.00;0.00;0.00;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310061] PALUE;53;5310;5310061;100.00;0.00;0.00;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310062] KOTING;53;5310;5310062;100.00;0.00;0.00;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310063] NELLE;53;5310;5310063;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310070] NITA;53;5310;5310070;95.65;4.35;0.00;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310071] MAGEPANDA;53;5310;5310071;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310080] ALOK;53;5310;5310080;100.00;0.00;0.00;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310081] ALOK BARAT;53;5310;5310081;100.00;0.00;0.00;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310082] ALOK TIMUR;53;5310;5310082;96.77;0.00;0.00;3.23
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310] SIKKA;53;5310;5310999;98.38;0.57;0.08;0.97
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310010] PAGA;53;5310;5310010;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310011] MEGO;53;5310;5310011;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310012] TANA WAWO;53;5310;5310012;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310020] LELA;53;5310;5310020;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310030] BOLA;53;5310;5310030;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310031] DORENG;53;5310;5310031;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310032] MAPITARA;53;5310;5310032;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310040] TALIBURA;53;5310;5310040;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310041] WAIGETE;53;5310;5310041;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310042] WAIBLAMA;53;5310;5310042;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310050] KEWAPANTE;53;5310;5310050;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310051] HEWOKLOANG;53;5310;5310051;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310052] KANGAE;53;5310;5310052;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310061] PALUE;53;5310;5310061;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310062] KOTING;53;5310;5310062;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310063] NELLE;53;5310;5310063;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310070] NITA;53;5310;5310070;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310071] MAGEPANDA;53;5310;5310071;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310080] ALOK;53;5310;5310080;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310081] ALOK BARAT;53;5310;5310081;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310082] ALOK TIMUR;53;5310;5310082;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310] SIKKA;53;5310;5310999;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310010] PAGA;53;5310;5310010;99.50;0.25;0.00;0.25
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310011] MEGO;53;5310;5310011;98.31;0.00;0.00;1.69
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310012] TANA WAWO;53;5310;5310012;100.00;0.00;0.00;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310020] LELA;53;5310;5310020;98.73;0.16;0.16;0.95
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310030] BOLA;53;5310;5310030;99.55;0.15;0.00;0.30
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310031] DORENG;53;5310;5310031;99.22;0.26;0.26;0.26
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310032] MAPITARA;53;5310;5310032;99.54;0.23;0.00;0.23
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310040] TALIBURA;53;5310;5310040;98.62;0.34;0.48;0.63
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310041] WAIGETE;53;5310;5310041;98.71;1.15;0.07;0.15
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310042] WAIBLAMA;53;5310;5310042;98.57;0.38;0.48;0.57
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310050] KEWAPANTE;53;5310;5310050;99.17;0.48;0.00;0.36
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310051] HEWOKLOANG;53;5310;5310051;98.94;0.64;0.00;0.43
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310052] KANGAE;53;5310;5310052;98.03;1.39;0.12;0.46
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310061] PALUE;53;5310;5310061;99.78;0.00;0.07;0.15
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310062] KOTING;53;5310;5310062;99.26;0.25;0.49;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310063] NELLE;53;5310;5310063;78.14;21.36;0.50;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310070] NITA;53;5310;5310070;98.13;1.65;0.00;0.22
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310071] MAGEPANDA;53;5310;5310071;98.43;0.83;0.19;0.56
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310080] ALOK;53;5310;5310080;98.99;0.88;0.00;0.13
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310081] ALOK BARAT;53;5310;5310081;90.99;6.47;2.54;0.23
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310082] ALOK TIMUR;53;5310;5310082;98.34;1.02;0.13;0.51
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310] SIKKA;53;5310;5310999;98.14;1.27;0.24;0.37
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310010] PAGA;53;5310;5310010;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310011] MEGO;53;5310;5310011;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310012] TANA WAWO;53;5310;5310012;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310020] LELA;53;5310;5310020;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310030] BOLA;53;5310;5310030;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310031] DORENG;53;5310;5310031;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310032] MAPITARA;53;5310;5310032;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310040] TALIBURA;53;5310;5310040;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310041] WAIGETE;53;5310;5310041;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310042] WAIBLAMA;53;5310;5310042;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310050] KEWAPANTE;53;5310;5310050;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310051] HEWOKLOANG;53;5310;5310051;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310052] KANGAE;53;5310;5310052;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310061] PALUE;53;5310;5310061;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310062] KOTING;53;5310;5310062;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310063] NELLE;53;5310;5310063;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310070] NITA;53;5310;5310070;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310071] MAGEPANDA;53;5310;5310071;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310080] ALOK;53;5310;5310080;-;-;-;-
