"id_prov";"id_kab";"id_kategori_luas_lahan";"id_kec";"prov";"kab";"kec";"kategori_luas_lahan";"n_utp_kategori_luas_lahan";"n_upb_kategori_luas_lahan";"n_utl_kategori_luas_lahan"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310012] TANA WAWO";"53";"5310";"5310012";"10-19,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310012] TANA WAWO";"53";"5310";"5310012";"1-1,99";"437.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310012] TANA WAWO";"53";"5310";"5310012";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310012] TANA WAWO";"53";"5310";"5310012";"20-49,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310012] TANA WAWO";"53";"5310";"5310012";"2-4,99";"127.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310012] TANA WAWO";"53";"5310";"5310012";"500-999";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310012] TANA WAWO";"53";"5310";"5310012";"50-99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310012] TANA WAWO";"53";"5310";"5310012";"5-9,99";"1.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310012] TANA WAWO";"53";"5310";"5310012";"Usaha Pertanian Tanpa Lahan Pertanian";"11.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310012] TANA WAWO";"53";"5310";"5310012";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"1759.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310020] LELA";"53";"5310";"5310020";"< 1";"1378.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310020] LELA";"53";"5310";"5310020";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310020] LELA";"53";"5310";"5310020";"100-199";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310020] LELA";"53";"5310";"5310020";"10-19,99";"1.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310020] LELA";"53";"5310";"5310020";"1-1,99";"351.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310020] LELA";"53";"5310";"5310020";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310020] LELA";"53";"5310";"5310020";"20-49,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310020] LELA";"53";"5310";"5310020";"2-4,99";"121.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310020] LELA";"53";"5310";"5310020";"500-999";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310020] LELA";"53";"5310";"5310020";"50-99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310020] LELA";"53";"5310";"5310020";"5-9,99";"9.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310020] LELA";"53";"5310";"5310020";"Usaha Pertanian Tanpa Lahan Pertanian";"140.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310020] LELA";"53";"5310";"5310020";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"1860.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310030] BOLA";"53";"5310";"5310030";"< 1";"2005.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310030] BOLA";"53";"5310";"5310030";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310030] BOLA";"53";"5310";"5310030";"100-199";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310030] BOLA";"53";"5310";"5310030";"10-19,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310030] BOLA";"53";"5310";"5310030";"1-1,99";"150.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310030] BOLA";"53";"5310";"5310030";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310030] BOLA";"53";"5310";"5310030";"20-49,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310030] BOLA";"53";"5310";"5310030";"2-4,99";"31.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310030] BOLA";"53";"5310";"5310030";"500-999";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310030] BOLA";"53";"5310";"5310030";"50-99";"0.00";"0.00";"0.00"
