"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_palawija_jagung";"n_rtup_palawija_gandum_gabungan";"n_rtup_palawija_jagung_hibrida";"n_rtup_palawija_jagung_komposit";"n_rtup_palawija_jagung_lokal";"n_rtup_palawija_kedelai";"n_rtup_palawija_kacang_tanah";"n_rtup_palawija_kacang_hijau";"n_rtup_palawija_ubi_kayu";"n_rtup_palawija_ubi_jalar";"n_rtup_palawija_sorgum";"n_rtup_palawija_gandum";"n_rtup_palawija_gandum_hitam";"n_rtup_palawija_talas";"n_rtup_palawija_ganyong";"n_rtup_palawija_garut";"n_rtup_palawija_hotong";"n_rtup_palawija_gembili";"n_rtup_palawija_kimpul";"n_rtup_palawija_iles_iles";"n_rtup_palawija_juwawut";"n_rtup_palawija_gadung";"n_rtup_palawija_suweg";"n_rtup_palawija_ubi_sawut";"n_rtup_palawija_kacang_babi";"n_rtup_palawija_kacang_bogor";"n_rtup_palawija_kacang_gude";"n_rtup_palawija_kacang_komak";"n_rtup_palawija_kacang_koro_benguk";"n_rtup_palawija_kacang_merah";"n_rtup_palawija_kacang_nagara";"n_rtup_palawija_kacang_rawai";"n_rtup_palawija_kacang_tunggak";"n_rtup_palawija_porang";"n_rtup_palawija_walur";"n_rtup_palawija_lainnya"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1115";"0";"21";"6";"1097";"0";"217";"316";"613";"17";"0";"0";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"241";"0";"0";"0";"241";"0";"21";"20";"95";"11";"0";"0";"0";"543";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"2055";"0";"39";"10";"2011";"0";"109";"1240";"1299";"14";"2";"0";"0";"73";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"266";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"1440";"0";"2";"0";"1440";"0";"3";"751";"1288";"17";"16";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"36";"0";"0";"0";"0";"0";"755";"0";"0";"1537"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"593";"0";"22";"0";"575";"0";"200";"8";"637";"1";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"29"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"657";"0";"26";"2";"636";"0";"14";"75";"608";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"1378";"0";"42";"1";"1351";"0";"191";"7";"1501";"127";"1";"0";"0";"214";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0";"10";"0";"64"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"693";"0";"32";"1";"663";"0";"284";"179";"66";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"1";"1";"0";"20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"1241";"0";"173";"5";"1197";"0";"135";"797";"395";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"19";"0";"0";"0";"0";"0";"6";"0";"0";"2";"0";"0";"0";"0";"0";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"970";"0";"50";"36";"913";"0";"400";"29";"146";"3";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1556";"0";"515";"6";"1362";"0";"61";"694";"751";"4";"0";"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"18490";"0";"1290";"82";"17677";"0";"2059";"4562";"12106";"761";"24";"0";"0";"2268";"0";"0";"0";"90";"0";"0";"19";"0";"0";"0";"0";"0";"384";"0";"0";"13";"0";"0";"757";"52";"0";"1677"
