"id_prov";"id_kab";"id_kategori_subsektor";"id_kec";"prov";"kab";"kec";"kategori_subsektor";"n_utp_subsektor_st2023";"n_upb_subsektor_st2023";"n_utl_subsektor_st2023";"n_total_subsektor_st2023"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.2";"[5310032] MAPITARA";"53";"5310";"5310032";"Palawija";"388";"0";"0";"388"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310032] MAPITARA";"53";"5310";"5310032";"Hortikultura";"249";"0";"3";"252"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310032] MAPITARA";"53";"5310";"5310032";"Perkebunan";"1340";"0";"0";"1340"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310032] MAPITARA";"53";"5310";"5310032";"Peternakan";"770";"0";"0";"770"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310032] MAPITARA";"53";"5310";"5310032";"Perikanan";"20";"0";"0";"20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310032] MAPITARA";"53";"5310";"5310032";"Budidaya Ikan";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310032] MAPITARA";"53";"5310";"5310032";"Penangkapan Ikan";"20";"0";"0";"20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310032] MAPITARA";"53";"5310";"5310032";"Kehutanan";"91";"0";"0";"91"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310032] MAPITARA";"53";"5310";"5310032";"Jasa Pertanian";"2";"0";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0";"[5310040] TALIBURA";"53";"5310";"5310040";"Pertanian";"4674";"3";"0";"4677"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310040] TALIBURA";"53";"5310";"5310040";"Tanaman Pangan";"3615";"0";"0";"3615"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.1";"[5310040] TALIBURA";"53";"5310";"5310040";"Padi";"3399";"0";"0";"3399"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.2";"[5310040] TALIBURA";"53";"5310";"5310040";"Palawija";"1862";"0";"0";"1862"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310040] TALIBURA";"53";"5310";"5310040";"Hortikultura";"1587";"2";"0";"1589"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310040] TALIBURA";"53";"5310";"5310040";"Perkebunan";"3332";"3";"0";"3335"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310040] TALIBURA";"53";"5310";"5310040";"Peternakan";"3072";"0";"0";"3072"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310040] TALIBURA";"53";"5310";"5310040";"Perikanan";"732";"0";"0";"732"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310040] TALIBURA";"53";"5310";"5310040";"Budidaya Ikan";"4";"0";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310040] TALIBURA";"53";"5310";"5310040";"Penangkapan Ikan";"728";"0";"0";"728"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310040] TALIBURA";"53";"5310";"5310040";"Kehutanan";"2218";"1";"0";"2219"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310040] TALIBURA";"53";"5310";"5310040";"Jasa Pertanian";"19";"0";"0";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0";"[5310041] WAIGETE";"53";"5310";"5310041";"Pertanian";"4966";"2";"2";"4970"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310041] WAIGETE";"53";"5310";"5310041";"Tanaman Pangan";"3181";"0";"0";"3181"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.1";"[5310041] WAIGETE";"53";"5310";"5310041";"Padi";"2197";"0";"0";"2197"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.2";"[5310041] WAIGETE";"53";"5310";"5310041";"Palawija";"1997";"0";"0";"1997"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310041] WAIGETE";"53";"5310";"5310041";"Hortikultura";"1964";"1";"1";"1966"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310041] WAIGETE";"53";"5310";"5310041";"Perkebunan";"4173";"0";"2";"4175"
