"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_buru_dan_tangkap_satwa_liar_punya_izin";"n_utp_buru_dan_tangkap_satwa_liar_punya_izin";"volume_produksi_punya_izin";"nilai_produksi_punya_izin";"rerata_produksi_per_komoditas_punya_izin";"rerata_produksi_per_rtup_punya_izin";"rerata_produksi_per_utp_punya_izin";"n_rtup_buru_dan_tangkap_satwa_liar_tak_punya_izin";"n_utp_buru_dan_tangkap_satwa_liar_tak_punya_izin";"volume_produksi_tak_punya_izin";"nilai_produksi_tak_punya_izin";"rerata_produksi_per_komoditas_tak_punya_izin";"rerata_produksi_per_rtup_tak_punya_izin";"rerata_produksi_per_utp_tak_punya_izin";"n_rtup_buru_dan_tangkap_satwa_liar_ada_izin_dan_tidak";"n_utp_buru_dan_tangkap_satwa_liar_ada_izin_dan_tidak";"volume_produksi_ada_izin_dan_tidak";"nilai_produksi_ada_izin_dan_tidak";"rerata_produksi_per_komoditas_ada_izin_dan_tidak";"rerata_produksi_per_rtup_ada_izin_dan_tidak";"rerata_produksi_per_utp_ada_izin_dan_tidak"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310050] KEWAPANTE";"53";"5310";"5310050";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310051] HEWOKLOANG";"53";"5310";"5310051";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310052] KANGAE";"53";"5310";"5310052";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310061] PALUE";"53";"5310";"5310061";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310062] KOTING";"53";"5310";"5310062";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310063] NELLE";"53";"5310";"5310063";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310070] NITA";"53";"5310";"5310070";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0";"0.00";"0.00";-;-;-;"2";"2";"21.00";"5.50";"261.90";"2750.00";"2750.00";"2";"2";"21.00";"5.50";"261.90";"2750.00";"2750.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310080] ALOK";"53";"5310";"5310080";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1";"1";"2.00";"0.00";"0.50";"1.00";"1.00";"0";"0";"0.00";"0.00";-;-;-;"1";"1";"2.00";"0.00";"0.50";"1.00";"1.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310082] ALOK TIMUR";"53";"5310";"5310082";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310] SIKKA";"53";"5310";"5310999";"3";"3";"9.00";"5.10";"566.78";"1700.33";"1700.33";"14";"14";"107.00";"32.20";"300.93";"2300.00";"2300.00";"17";"17";"116.00";"37.30";"321.56";"2194.18";"2194.18"
